Year,Quarter,Recession,R_,pi_c_,pi_i_,pi_d_,dy_,dc_,di_,dimp_,dex_,dE_,dS_,dw_,dy_star_,pi_star_,R_star_,tb3m,tb1y,tb2y,tb3y,tb5y,tb7y,tb10y,tb20y,tb30y,aaaboa,aaboa,aboa,bbbboa,aadefault,adefault,bbbdefault,sp500,sp500d,oil,gold,reitret,reitinc
1991,2,0,1.466691304,0.886268726,0.091159642,0.399671155,0.458085104,1.049786598,-0.732317055,NA,NA,-0.538974565,NA,0.773913971,0.476897327,-1.791027443,1.222037609,5.693,6.32,6.9,7.33,7.9,8.14,8.24,NA,8.42,NA,NA,NA,NA,0,0,0.55,-1.082031072,3.14,4.73764646,3.570926473,-0.548773545,2.61
1991,3,0,1.444516443,0.732604009,-0.05192961,-0.073340468,0.148225001,0.817272947,-1.273191875,NA,NA,-0.354876225,NA,0.590094606,0.136653263,-0.522481585,1.189380071,5.254,5.42,5.99,6.28,6.92,7.29,7.47,NA,7.82,NA,NA,NA,NA,0,0,0.55,4.499402096,3.14,8.219844358,-3.651418488,1.597016537,2.33
1991,4,0,1.294090413,0.872098551,-0.297259068,-0.181838451,0.005911356,0.329336487,-0.696702755,NA,NA,-0.349366035,NA,0.813527624,0.634834916,0.508970959,1.135816494,3.958,4.12,4.77,5.11,5.93,6.38,6.71,NA,7.41,NA,NA,NA,NA,0,0,0.55,7.536227538,3.14,-13.93258427,-0.493096647,1.592712135,2.47
1992,1,0,1.002458552,0.64911876,-0.081901393,0.805018566,0.896067819,2.184365428,-0.767683274,NA,NA,-0.258803992,NA,1.868150862,0.337632439,28.1883288,3.005766255,4.144,4.54,5.6,6.17,6.94,7.25,7.54,NA,7.96,NA,NA,NA,NA,0,0,0,-3.212734453,2.84,1.775456919,-3.242248336,-1.06678224,2.05
1992,2,0,0.92817906,0.716335441,-0.079838624,1.420245484,0.744937971,1.005070242,2.769380863,2.294447058,-0.434794337,-0.010205484,-3.861342143,0.794662828,5.580687652,-0.069710742,2.959625988,3.648,4.05,4.83,5.39,6.29,6.76,7.14,NA,7.79,NA,NA,NA,NA,0,0,0,1.102334211,2.84,12.05746537,0.497512438,-0.099979476,2.28
1992,3,0,0.80921699,0.711240552,0.073453879,-0.414585472,0.614812054,1.332831638,1.222938553,2.25109112,1.832241327,-0.144428086,-2.473390513,0.6714258,2.980979218,0.098022919,2.907114725,2.741,3.06,3.8,4.34,5.33,5.94,6.37,NA,7.38,NA,NA,NA,NA,0,0,0,2.366828207,2.84,-0.045787546,1.63075131,2.787405334,2.1
1992,4,0,0.772012302,0.846864624,0.018089051,-0.186016934,0.692186394,1.534779221,2.25883136,2.028220968,0.721038772,0.145129297,6.983110845,0.884739617,3.714485486,-0.347305788,2.984153047,3.141,3.61,4.56,5.12,6.04,6.43,6.7,NA,7.4,NA,NA,NA,NA,0,0,0,4.286740908,2.84,-10.71919377,-4.613180516,1.24946491,2.29
1993,1,0,0.75216414,0.700282974,0.073386693,1.641236303,-0.127337363,0.682916563,0.767185013,0.938544169,0.31389319,0.160988092,0.271603151,-0.206903527,-5.241571468,-0.10842548,2.839248722,2.957,3.32,3.96,4.42,5.24,5.72,6.03,NA,6.93,NA,NA,NA,NA,0,0,0,3.662991974,2.7,4.87429451,1.471913488,17.12077245,1.78
1993,2,0,0.737275433,0.695413095,0.078644764,0.307322486,0.277375449,1.272071249,1.721498127,2.629514176,0.72309575,0.378864591,-2.210155156,1.63223958,4.179371535,0.320603875,2.737521816,3.08,3.45,4.03,4.39,5.05,5.46,5.8,NA,6.68,NA,NA,NA,NA,0,0,0,-0.252399754,2.7,-7.925636008,12.03374778,-4.474880926,1.72
1993,3,0,0.762088713,0.483927664,-0.055257427,-1.084573156,0.134994712,1.199599911,0.406169507,0.347871172,-0.356212476,0.288869263,0.577564569,0.69896586,3.071598663,-0.510165751,2.6890598,2.977,3.39,3.89,4.24,4.79,5.11,5.4,NA,6.04,NA,NA,NA,NA,0,0,0,1.864469407,2.7,-0.531349628,-6.064209275,7.244891088,1.55
1993,4,0,0.744720064,0.892556561,0.305658092,-0.103525694,1.031948949,1.129327427,3.530104744,2.992944015,3.177911418,0.455905357,2.972122369,1.366396852,3.547711856,0.248823431,2.637926955,3.059,3.63,4.25,4.58,5.21,5.53,5.83,6.48,6.35,NA,NA,NA,NA,0,0,0,1.638598286,2.7,-23.31730769,10.19690577,-7.83956208,1.98
1994,1,0,0.759607662,0.545331958,0.273027599,1.382449657,0.697115142,1.226544041,1.057419021,2.091159527,0.827301965,0.555281945,-1.216208809,0.110468295,-6.15292267,0.276418575,2.60724031,3.553,4.5,5.21,5.66,6.23,6.59,6.77,7.23,7.11,NA,NA,NA,NA,0,0.14,0,-4.433491793,2.89,2.960640892,-0.650925335,0.655116996,1.58
1994,2,0,0.886062843,0.542374211,0.211137582,0.555965343,1.052764458,1.038252003,1.462894819,3.399089192,2.673236311,0.580707364,1.193573454,2.102403322,4.749378735,-0.426554213,2.708472286,4.215,5.51,6.19,6.52,6.97,7.18,7.34,7.75,7.63,NA,NA,NA,NA,0,0.14,0,-0.336496408,2.89,31.05548038,-0.244090442,-0.364163966,1.8
1994,3,0,1.059368821,0.942133483,0.213849744,0.419903504,0.260165308,1.152549328,1.586182412,4.036076521,3.875863448,0.556687048,-2.21828924,1.064975044,2.3508815,0.696961467,2.72181316,4.773,5.96,6.62,6.92,7.28,7.46,7.62,7.98,7.82,NA,NA,NA,NA,0,0.14,0,4.150629675,2.89,-5.214248838,1.699935608,-3.53995655,1.84
1994,4,0,1.182975175,0.534403409,0.095715427,0.053440802,0.833269474,1.238255016,3.617108403,2.807282914,2.225229989,0.489344974,2.37487131,1.660755061,2.991316064,-0.382599362,2.728067755,5.687,7.2,7.69,7.8,7.83,7.84,7.84,8.02,7.89,NA,NA,NA,NA,0,0.14,0,-0.743446666,2.89,-3.213507625,-2.93782449,-3.250660899,2.2
1995,1,0,1.373030645,0.730172511,0.43639332,1.847995295,0.086237038,0.469493593,3.797349479,2.964290272,3.108438682,0.368791161,1.199747783,1.238684708,-8.009765936,1.159040075,2.871219796,5.87,6.49,6.8,6.92,7.08,7.17,7.2,7.54,7.44,NA,NA,NA,NA,0,0,0.17,9.023015436,2.24,7.934721441,2.283105023,-0.991762171,2.09
1995,2,0,1.501175762,0.790517951,0.326049761,0.946925142,0.014187242,1.169412719,0.995260975,2.698933728,2.378087942,0.040791456,-2.87894428,0.893593578,3.26258401,1.843936514,2.814757066,5.568,5.65,5.79,5.88,5.98,6.12,6.21,6.64,6.63,NA,NA,NA,NA,0,0,0.17,8.795512331,2.24,-9.384775808,-1.262755102,4.479930169,2.04
1995,3,0,1.45190861,0.458265941,0.275060343,-0.240226443,0.525213916,0.988085023,0.58860811,-1.088334214,3.334826776,0.178190573,4.336903786,1.119468218,2.993060509,-2.441266667,2.72212737,5.411,5.65,5.83,5.91,6.01,6.11,6.17,6.6,6.49,NA,NA,NA,NA,0,0,0.17,7.280398899,2.24,0.920598389,-0.788011885,2.936502738,1.98
1995,4,0,1.42973047,0.521173818,-0.222907471,0.360492197,0.370080596,0.827068747,1.390775998,0.049658739,0.777751805,0.071833367,2.227695028,0.72425854,3.328900049,-0.358837984,2.673662085,5.077,5.18,5.18,5.25,5.38,5.49,5.58,6.01,5.96,NA,NA,NA,NA,0,0,0.17,5.393477431,2.24,11.40250855,0.78125,2.475033151,2.04
1996,1,0,1.380428098,1.034269077,-0.318556427,1.017888652,0.49741788,1.22307337,1.935650587,3.021836686,1.111464716,0.318408449,1.111298943,1.208337984,-6.608575724,0.328770389,2.600353707,5.14,5.41,5.79,5.91,6.1,6.3,6.34,6.83,6.67,NA,NA,NA,NA,0,0,0,4.80087142,2,9.672466735,2.416020672,1.192397125,1.36
1996,2,0,1.296558239,0.768741774,-0.389913078,1.009045383,1.369938151,1.452592175,1.954225121,2.333172141,1.722548737,0.366659858,1.359000635,1.765806956,4.140730804,0.145113107,2.574022518,5.157,5.7,6.11,6.3,6.47,6.61,6.73,7.03,6.9,NA,NA,NA,NA,0,0,0,3.893106894,2,-2.379841344,-3.620537404,2.46454804,1.97
1996,3,0,1.340968691,0.636134461,0.018901805,0.154410376,0.567803238,0.703995422,2.791634224,1.148702509,-1.125229292,0.207710326,0.041523929,1.345177857,2.843340548,-1.036885668,2.563372226,5.032,5.71,6.1,6.28,6.46,6.6,6.72,7.05,6.93,NA,NA,NA,NA,0,0,0,2.490197557,2,15.67877629,-0.785340314,4.870069585,1.84
1996,4,0,1.301493708,0.883844137,-0.207064437,-0.04940421,0.714058909,1.153835083,1.980435739,1.345766151,4.482205344,0.288724296,1.289009856,1.347106812,4.206738092,0.037913394,2.481681583,5.171,5.51,5.88,6.04,6.21,6.34,6.43,6.73,6.65,0.29,0.39,0.54,0.83,0,0,0,7.770644622,2,7.024793388,-2.572559367,16.37859533,2.03
1997,1,0,1.303961351,0.439009799,-0.131608751,0.304411949,0.378886457,1.225188687,1.899162329,3.481246129,1.668385275,0.432086173,3.799833963,1.633075844,-6.934125738,-0.040971735,2.473381513,5.322,6.02,6.45,6.6,6.77,6.89,6.92,7.22,7.1,0.33,0.41,0.54,0.8,0,0,0.25,2.211302916,1.61,-21.42857143,-5.714285714,-1.28244925,1.55
1997,2,0,1.368098706,0.25000013,-0.063233777,-0.330770845,1.362414767,0.414015706,1.705139094,1.103363836,3.784886021,0.388846419,-0.583668868,1.199267799,4.44889074,-0.342723025,2.372513398,5.167,5.67,6.08,6.25,6.4,6.49,6.51,6.86,6.8,0.35,0.45,0.59,0.82,0,0,0.25,16.90881509,1.61,-2.604422604,-3.9063622,3.967353805,1.66
1997,3,0,1.370564706,0.622279544,-0.076988387,-0.081222798,0.911879719,1.621931788,3.898056395,1.540578483,1.136177546,0.29293237,3.240888812,1.788680813,2.750298301,-0.220631417,2.251389038,5.1,5.47,5.8,5.88,6,6.11,6.12,6.47,6.41,0.38,0.42,0.56,0.84,0,0,0.25,7.020359824,1.61,6.609485368,-0.732327006,9.567359117,1.33
1997,4,0,1.365632645,0.371517455,-0.402780892,-0.676736052,0.542898776,1.189735627,-0.078386385,1.133981235,-0.854456294,0.465499021,5.675811601,2.081065915,4.046794487,-0.142197677,2.306092101,5.347,5.51,5.66,5.68,5.71,5.77,5.75,6.02,5.93,0.55,0.6,0.76,1.05,0,0,0.25,2.443835328,1.61,-16.46947468,-12.61668172,-0.547768115,1.59
1998,1,0,1.380428098,0.123533061,-0.582187604,-0.409130394,0.738143235,0.757814603,2.355429025,1.263020094,-0.666981833,0.2361521,1.46842871,1.825447327,-7.077053261,0.498966582,2.359289074,5.12,5.41,5.6,5.61,5.64,5.74,5.67,6.02,5.94,0.59,0.64,0.81,1.14,0,0,0.41,13.53214636,1.36,-10.76487252,3.72157133,-1.88081503,1.35
1998,2,0,1.353301428,0.492611834,-0.499894226,0.377819165,0.648054171,1.651871108,2.55046049,0.517550268,-1.992093755,0.453243909,2.986611445,1.256052927,3.374632675,-0.515810681,2.182886604,5.078,5.38,5.49,5.49,5.47,5.52,5.44,5.73,5.62,0.67,0.7,0.88,1.23,0,0,0.41,2.912635897,1.36,-9.206349206,-1.561461794,-6.098488186,1.51
1998,3,0,1.375496523,0.429053677,-0.408818592,-0.39780917,0.932981718,1.291709937,0.848065224,-0.12378922,-1.56851523,0.223688559,0.976038843,1.471062869,2.674793191,0.023691039,2.511244094,4.361,4.41,4.3,4.26,4.23,4.38,4.44,5.17,4.98,1.07,1.14,1.45,2.06,0,0,0.41,-10.30391938,1.36,13.21678322,-0.826864664,-12.50764342,1.73
1998,4,0,1.259534457,0.548949228,-0.231437978,-0.440794142,1.301138945,1.394431376,2.341327125,2.560659366,3.138571101,0.360988936,-3.596660145,1.632117331,3.918209474,0.488836237,2.786351418,4.452,4.53,4.54,4.55,4.56,4.73,4.65,5.39,5.09,0.95,1.02,1.32,2.05,0,0,0.41,20.8670483,1.36,-25.01544163,-2.058873575,-5.488179573,1.61
1999,1,0,1.150852218,0.243013485,-0.139120329,0.777992978,0.68891682,0.971796384,1.799189154,1.565594943,-1.413707976,0.240944126,2.681361466,1.491759842,-6.451871154,-0.531615599,2.417436084,4.475,4.72,4.99,5.07,5.12,5.38,5.25,5.92,5.63,0.8,0.84,1.1,1.72,0.17,0.18,0.2,4.648439749,1.17,37.23228995,-2.901320361,-6.806264935,1.79
1999,2,0,1.178033854,0.725517088,-0.253934773,1.320469518,0.492949787,1.718520783,2.092454698,3.789862914,0.969634702,0.395118239,-0.173641301,0.779727395,3.783339116,-0.194452043,1.925310434,4.779,5.07,5.53,5.59,5.67,5.93,5.81,6.29,5.98,0.76,0.84,1.11,1.69,0.17,0.18,0.2,6.711907642,1.17,16.02641056,-6.602254428,8.565895707,1.88
1999,3,0,1.239782834,1.078500568,-0.441324688,1.315946674,0.983591472,1.333036144,2.06410344,4.968779368,3.209524417,0.20931486,-1.558837065,1.094869625,2.68081369,0.232937676,1.920980344,4.851,5.22,5.63,5.7,5.78,6.1,5.9,6.47,6.06,0.89,0.98,1.29,1.87,0.17,0.18,0.2,-6.556374074,1.17,26.95292292,14.55938697,-11.22958316,2.1
1999,4,0,1.291622527,0.594178813,0.165047,0.174119402,1.385130161,1.743377199,0.30774246,3.863122714,2.745160808,0.471225002,-0.035310735,2.089388557,4.167359078,-0.048453962,1.782979023,5.328,5.98,6.24,6.29,6.36,6.55,6.45,6.83,6.48,0.84,0.9,1.09,1.65,0.17,0.18,0.2,14.54265147,1.17,4.56397718,-2.926421405,-4.295278997,2.61
2000,1,0,1.353301428,1.294897434,0.280605381,2.283158043,0.107679558,2.103018664,3.62721371,5.39932987,2.092162089,0.373872779,1.123804628,3.129872429,-5.30436521,-0.163986306,1.644325499,5.871,6.28,6.5,6.44,6.32,6.28,6.03,6.2,5.84,1.21,1.41,1.59,2.18,0,0.27,0.37,1.996253599,1.22,4.676539361,-4.651162791,0.307664,1.92
2000,2,0,1.493787236,0.699303549,0.212907455,1.113244141,1.566777952,1.162248116,3.04032322,2.56068314,2.974557793,0.108659478,1.868243233,0.768023588,4.211326463,-0.181655579,1.620254095,5.855,6.08,6.38,6.31,6.18,6.25,6.03,6.26,5.9,1.28,1.5,1.8,2.4,0,0.27,0.37,-2.934777008,1.22,20.7743857,4.119241192,8.392450189,2.02
2000,3,0,1.621777802,0.809721023,0.305060683,0.212077624,-0.138148501,1.323567162,1.115108912,3.424678986,2.509888613,-0.0560672,1.909669746,1.191753592,2.346738409,0.460850286,1.639592714,6.21,6.07,5.98,5.91,5.85,5.93,5.8,6.13,5.88,1.18,1.44,1.68,2.33,0,0.27,0.37,-1.243638547,1.22,-4.839704069,-5.032101336,5.541713291,1.91
2000,4,0,1.614398182,0.574384118,-0.018298951,-0.738192131,0.35642732,1.144726336,0.09241256,0.25855209,-0.943448278,0.005570857,1.518467354,0.203677149,2.725706083,0.00041254,1.794071269,5.895,5.32,5.11,5.06,4.99,5.16,5.12,5.59,5.46,1.18,1.48,2,2.91,0,0.27,0.37,-8.09113617,1.22,-13.44347263,0.292344235,0.995064434,2.57
2001,1,1,1.48393502,0.85543721,-0.409911796,0.609593698,-0.514936899,0.846909879,-1.538993012,-2.058023747,-1.838839722,-0.199971426,2.105685928,1.373538003,-5.331660937,-0.511106453,1.673130705,4.286,4.09,4.18,4.33,4.62,4.86,4.93,5.6,5.46,0.77,1.02,1.54,2.46,0,0.27,0.34,-12.11485969,1.37,-1.30988024,-6.103115322,-0.551700059,1.6
2001,2,1,1.192857087,0.904471966,-0.034595717,1.101719867,0.347707291,0.470086346,-2.361092737,-5.574668397,-3.995395364,-0.573921526,1.192792994,-0.726237035,2.836835556,0.383986739,1.415746672,3.656,3.72,4.25,4.52,4.97,5.28,5.42,5.91,5.75,0.41,0.62,1.11,1.9,0,0.27,0.34,5.519985817,1.37,0,5.005820722,9.400177158,1.86
2001,3,1,0.938086181,0.224845514,-0.24684153,-0.307192226,-0.677462655,0.140085153,-1.697253052,-4.219909005,-6.248725222,-0.656104438,-0.86901094,-0.852541102,1.730764962,-0.487427987,1.203422626,2.371,2.49,2.86,3.22,3.93,4.37,4.6,5.45,5.42,0.25,0.55,1.19,2.25,0,0.27,0.34,-14.98228191,1.37,-11.11111111,8.314855876,-4.43080294,2.02
2001,4,1,0.620570472,-0.393812042,-0.141016208,-3.435029803,0.017758503,1.290820746,-3.310568424,-4.015066593,-4.577764602,-0.85853384,1.212914986,-0.388797358,2.74543661,-0.092271589,1.02085519,1.725,2.17,3.07,3.59,4.38,4.84,5.07,5.74,5.48,-0.03,0.11,0.93,1.92,0,0.27,0.34,10.29262216,1.37,-14.84641638,-5.663596042,2.967775592,2.21
2002,1,0,0.431567407,0.618153134,-0.076014251,1.368505962,0.653004822,0.272873657,-2.720925996,2.483772555,1.36979911,-0.420207268,1.158927085,-0.230412887,-5.150061314,0.089453126,0.912289116,1.777,2.7,3.72,4.31,4.91,5.29,5.42,6.03,5.79,0.2,0.2,0.86,2.06,0,0,1.01,-0.060095205,1.79,31.31262525,9.005424955,6.671794113,1.58
2002,2,0,0.436545751,0.614355465,-0.093468108,0.740420665,0.381454437,1.047848274,-1.449723436,5.273278642,3.341730607,-0.250757096,-2.687516784,0.722752273,3.465843459,0.19399793,0.892849694,1.6796,2.06,2.9,3.37,4.09,4.52,4.86,5.65,5.41,0.31,0.19,0.84,2.28,0,0,1.01,-13.73290738,1.79,2.212895841,5.673523557,3.7825163,1.76
2002,3,0,0.431567407,0.665929209,-0.292924828,0.882643469,0.190406834,0.955991832,-0.872732714,1.626586618,1.033549807,-0.384103845,0.339916158,-0.161931042,2.479827204,0.196051685,0.957702055,1.5467,1.53,1.72,2.02,2.63,3.25,3.63,4.75,4.51,0.7,0.44,1.2,3.09,0,0,1.01,-17.63350678,1.79,14.18439716,1.632653061,-10.60347972,1.9
2002,4,0,0.436545751,0.551573379,0.035981225,-1.184291991,-0.089186976,0.78993845,-1.562442371,2.275112582,-1.501763027,-0.271474824,-0.778655893,-0.140641623,2.802244461,-0.114887153,0.972362101,1.1898,1.32,1.61,1.99,2.78,3.36,3.83,4.83,4.59,0.4,-0.1,0.67,2.17,0,0,1.01,7.916295715,1.79,2.026806146,7.259808465,-1.271489119,2.19
2003,1,0,0.309520491,1.148494987,-0.383374489,3.908136884,0.345150768,0.963812543,-0.096892898,1.628992831,0.35274661,-0.393712663,-1.724747091,-0.429203738,-4.892654353,0.167009702,1.006940717,1.108,1.19,1.51,1.93,2.78,3.35,3.83,4.84,4.6,0.23,-0.36,0.38,1.81,0,0,0.23,-3.596191692,1.61,-0.224287087,-3.55702765,-0.978223978,1.82
2003,2,0,0.314504914,-0.435967993,-0.198270403,-1.605680603,0.634458762,0.920407177,2.307779226,-0.305461425,0.086126808,-0.250533724,-4.602702302,1.096508399,2.606796557,-0.616263992,0.873063801,0.8455,1.09,1.32,1.66,2.46,3.03,3.54,4.52,4.28,0.13,-0.5,0.13,1.24,0,0,0.23,14.8930661,1.61,-3.179190751,3.329849186,12.09291105,1.83
2003,3,0,0.252181754,1.08637679,-0.265706474,0.425416522,1.435855086,1.823473201,1.584455427,1.91311011,2.771507439,-0.194350686,1.121378093,0.86391593,2.513104115,0.217700757,0.838158952,0.9376,1.15,1.5,1.95,2.85,3.41,3.96,4.91,4.67,-0.14,-0.64,-0.05,0.94,0,0,0.23,2.203178143,1.61,-3.184079602,12.13872832,7.346330437,1.58
2003,4,0,0.252181754,0.215866247,0.158191379,-0.004112225,0.903057479,0.894509742,1.169311075,3.730310442,4.728186463,0.011351479,-3.571340381,1.151308839,3.052555228,0.593229779,0.819718864,0.9171,1.26,1.84,2.37,3.25,3.77,4.27,5.1,4.86,-0.23,-0.66,-0.14,0.65,0,0,0.23,11.64192459,1.61,11.37375814,7.280927835,8.549777664,1.76
