var_x,Intercept,x2,x1,R_2,R_1,R_,pi_c_2,pi_c_1,pi_c_,pi_i_2,pi_i_1,pi_i_,pi_d_2,pi_d_1,pi_d_,dy_2,dy_1,dy_,dc_2,dc_1,dc_,di_2,di_1,di_,dimp_2,dimp_1,dimp_,dex_2,dex_1,dex_,dE_2,dE_1,dE_,dS_2,dS_1,dS_,dw_2,dw_1,dw_,dy_star_2,dy_star_1,dy_star_,pi_star_2,pi_star_1,pi_star_,R_star_2,R_star_1,R_star_,tvar,trvar,ivar,irvar,tcorr,rcorr
tb3m,0.011273378,0,0.935188149,0,0,0,0,0,0,0,0,0,0,0,0,0.000585611,0,0.126147281,0,0,0.07818804,0,0,0,0,0,0,0,0,0,0.00E+00,0,0.163893141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.400447701,3.637931547,0.141870514,0.486851713,1.86E-01,-0.752349833
tb1y,0.010336084,0,0.928759572,0,0,0,0,0,0.019950669,0,0,0,0,0,0,0,0,0.218022657,0,0,0.074802348,0,0,0,0,0,0,0,0,0,0.00E+00,0,0.107144208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.611069793,2.67601693,0.177692665,0.447339764,1.72E-01,-0.675316075
tb2y,0.040329765,0,0.924512803,0,0,0,0,0,0.038133923,0,0,0,0,0,0,0,0,0.267805308,0,0,0.048973283,0,0,0,0,0,0,0,0,0,0.00E+00,0,0.025712452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.49522037,2.209731859,0.226186292,0.435249676,1.50E-01,-0.56454931
tb3y,0.073611295,0,0.920089347,0,0,0,0,0,0.087069512,0,0,0,0,0,0,0,0,0.273869412,0,0,0.013857905,0,0,0,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.115882351,1.945076027,0.248241665,0.451995449,1.38E-01,-0.498110598
tb5y,0.142217311,0,0.896797416,0.066574152,0,0,-0.001563392,0,0.142620849,0,0,0,0,0,0,0,0,0.245680971,0,0,0,0,0,0,0,-0.000737187,0,-0.003157693,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.358168198,1.545809475,0.239853911,0.342917519,1.29E-01,-0.389993813
tb7y,0.213987905,0,0.881055645,0.115106644,0,0,-0.016467799,0,0.159054383,0,0,0,0,0,0,0,0,0.234175415,0,0,0,0,0,0,0,-0.005864754,0,-0.002234967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.877141254,1.336572708,0.219498343,0.290452436,1.28E-01,-0.34418937
tb10y,0.274297944,0,0.870900029,0.129514723,0,0,-0.01760347,0,0.177594458,0,0,0,0,0,0,0,0,0.222551333,0,0,0,0,0,-0.000986172,-0.000828763,-0.00460446,0,-0.001317676,0,0,0.00E+00,0,0,0,0,0,0,-0.005261097,0,0,0,0,0,0,0,0,0,0,2.372307968,1.051432291,0.191860523,0.22521102,1.27E-01,-0.319386015
tb20y,0.269706472,0,0.882011949,0.168200417,0,0,-0.034115131,0,0.203906068,0,0,0,0,0,0,0,0,0.262969321,0,0,0,0.008193422,-0.008670231,-0.044313117,0,-0.000434091,0,0,0,0,0.00E+00,-0.00885398,0,0,0,0,0.004766315,-0.027732618,0.004909711,0,0,0,0,0,0,0,0,0,2.174746683,0.882358649,0.130415608,0.077026978,7.13E-02,-0.254017493
tb30y,0.360576281,0,0.870466187,0.114308836,0,0,-0.01555129,0,0.211312256,0,0,0,0,0,0,0,0,0.205714185,0,0,0,0,0,-0.020819189,0,-0.008365038,0,0,0,0,0,0,0,0,0,0,0,-0.004558181,0,0,0,0,0,0,0,0,0,0,1.757478396,0.89342734,0.137843997,0.108690763,1.33E-01,-0.242696055
aaaboa,-0.001256396,0,0.756429589,0.057973956,0,0,0.027573456,0.07496535,0.00E+00,0,0,0,0,0,0,0,0,-0.067202206,0,0.012952151,0,0,0,0,0.004212067,0.010024555,0,0,0,0,4.72E-03,0,0,0,0,0.040022117,0,0.023230045,0,0,0,0,0,0,0,0,0,0,0.236812584,0.465513939,0.061861809,0.242701692,1.87E-01,0.306879605
aaboa,0.022086169,0,0.776621842,0.079636424,0,0,0.071566457,0.013172285,0,0,0,0,0,0,0,0,0,-0.14832405,0,0.033433111,-0.033176641,0,0,0.009572275,0.017414649,0,0,0,0,0,0,0,0,-0.000238126,0,0.031207449,0,0.043759357,0,0,0,0,0,0,0,0,0,0,0.454890981,0.842463863,0.084585898,0.285816867,2.07E-01,0.290240905
aboa,0.238036979,0,0.7230011,0.110668441,0,0,0.105017143,0.028490252,0,0,0,0,0,0,0,0,0,-0.17477604,0,0,-0.100527982,0,0,0,0.022929072,0.006562845,0,0,0,0,0.00E+00,0,-0.08750527,0,0,0.039600167,0,0.036072269,0,0,0,0,0,0,0,0,0,0,0.657773673,1.638536396,0.113075404,0.411500849,2.09E-01,0.229384343
bbbboa,0.969146907,0,0.581337776,0.111327971,0,0,0.105131534,0,-0.10333812,0,0,0,0,0,0,0.007526332,0,-0.291405508,0,0,-0.254550074,0,0,0,0.018457407,0.013756983,-0.005238889,0,0,0,0.00E+00,0,-0.270607368,0.001733016,0,0.04549496,0,0.034055462,0,0,0,0,0,0,0,0,0,0,0.900141512,2.582926019,0.154094971,0.326340151,1.53E-01,0.382144443
aadefault,-0.007128954,0,0.645758152,0,0,0,0,0.026749409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0,0,0,0.000179107,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002782409,0.014336105,0.002563588,0.015906521,2.54E-01,0.215673639
adefault,0.001458377,0,0.746066968,0.013319629,0,0,0,0.018620147,0,0,0,0,0,0,0,0,0,-0.012581438,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007979992,0.011084734,0.003286121,0.009571711,1.43E-01,-0.350296569
bbbdefault,0.037810905,0,0.685337861,0.041832657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.004226081,0,0,0,0,-0.005083227,0,0,0.00E+00,0,-0.046491826,-0.000446668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038186127,0.024780075,0.015869004,0.017485391,1.41E-01,-0.410487812
sp500,1.023935239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.681691213,0,0,0,0,0,0,-0.205448049,0,0,0,0,0.021057465,0.00E+00,0,0.580869312,0,0,-0.422979589,0,0,0,0,0,0,0,0,0,0,0,0,8.066111026,26.87291096,43.94526838,62.75784576,2.27E-01,0.491636877
sp500d,0.26215768,0,0.835350258,0,0,0,0,0.089936598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000519854,0,0.00E+00,0,0,0,-0.000826298,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172903517,0.497143775,0.038508014,0.204887846,1.82E-01,0.023732149
oil,-1.427968664,-0.062413416,-0.152688531,0,0,0,-2.327077829,0,9.648401486,0,0,0,0,0,0,0,0,2.862707043,0,0,0,-0.444951353,0,0,0,0,0,0,0,0.359583392,-1.07E+00,0,-0.709291017,0,-0.189861756,-0.82696828,0,0,-0.370539359,0,0,0,0,0,0,0,0,0,71.82808922,421.3663151,160.1391027,139.3409638,1.96E-01,0.450200167
gold,1.823024808,0.052346257,-0.018898725,0,0,0,0.823238061,-0.468212111,0,0,0,0,0,0,0,0,-0.076096647,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,-0.63761353,0,0,0,-0.832376886,-0.226659672,0,0,0,0,0,0,0,0,0,0,0,4.97849469,6.690555531,37.05978497,30.69039992,2.14E-01,0.278314098
reitret,0.621264896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183004325,0,0,1.244553122,0,0,0,-0.290852201,0,0.301612559,-0.18198133,0,0.394758135,0.00E+00,0,0,0,0,-0.13668588,-0.701294607,0,0,0,0,0,0,0,0,0,0,0,11.77998789,47.93286993,61.14393041,157.8438077,2.73E-01,0.610762483
reitinc,0.383356041,0.500056408,0.208865677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100702752,0.099911555,0.043775564,0.051559733,1.68E-01,-0.264332221
